,people_served,elevation,cell,people_crossing_daily,injuries,deaths,near_city_centers,how_to_cross_river,len_impossible_dangerous_to_cross,time_to_nearest_safe_passage,hours_to_reach_hospital,hours_to_reach_medical_center,hours_to_reach_market,hours_to_reach_elementary,hours_to_reach_midlle_school,hours_to_reach_church,land_type_within_50m,soil_type,sand_availible,gravel_availible,stone_availible,timber_availible,stone_provided_by,sand_provided_by,gravel_provided_by,timber_provided_by,cement_provided_by,steel_provided_by,land_owner,ownership_permission,general_comments
0,500-1000,1901m,Kajindi,50-150,No,No,-Gitwa -Munyegera,now-Simple timber bridge,1-3 months,<,2-6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 1m.-The proposed bridge span is approximately 12m.-The level difference between two banks is approximately 0.01m(almost the same).-The space for foundation is sufficient for both sides.-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient (
0,500-1000,1612m,kazabe,50-150,No,No,-Muhororo -Ngororero,now-Simple timber bridge,1-3 months,<,0.5-1,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 1m.-The proposed bridge span is approximately 15m.-The level difference between two banks is approximately 2m.-The space for foundation is sufficient.-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient (
0,500-1000,1529m,Rusumo-Cyome,50-150,No,No,-Gatumba,now-Simple timber bridge,1-3 months,1-2,1-2,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 2m.-The proposed bridge span is approximately 15m.-The level difference between two banks is approximately 0.1m(Almost the same).-The space for foundation is sufficient for one side and not sufficient for the other side.-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient (
0,3000-6000,1775m,Mutanda,>600,No,No,-Kidandari -Tubungo,now-Simple timber bridge,3-6 months,2-3,1-2,0.5-1 hours,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 32m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is a possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two elevated areas.-The soil from the site is silt for both sides.
0,3000-6000,2057m,Nkomane,300-600,No,No,-Jomba -Kabaya,now-Simple timber bridge,3-6 months,<,1-2,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-hilly,sandy,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 25m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is a possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is sandy soil for both sides.
0,3000-6000,2363m,Busoro,300-600,No,No,-Jenda,now-Simple timber bridge,3-6 months,<,1-2,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,sandy,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 26m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is a possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two elevated areas.-The soil from the site is sandy soil for both sides.
0,500-1000,1852m,Mutanda,50-150,No,No,-Kidandari,now-Simple timber bridge,1-3 months,2-3,2-6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 28m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is a possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,3000-6000,2401m,Rurengeri,300-600,No,No,-Jenda,now-Simple timber bridge,3-6 months,1-2,1-2,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 35m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two flat areas.-The soil from the site is volcanic clay for both sides.
0,1000-3000,2201m,Rurengeri,150-300,No,No,-Jenda,now-Simple timber bridge,3-6 months,1-2,1-2,1-2 hours,0.5 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 20m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between a hill and a flat area.-The soil from the site is volcanic soil for both sides.
0,1000-3000,2421m,Mutaho,< 50,No,No,-Mutaho,now-Simple timber bridge,1-3 months,1-2,2-6,2-6 hours,2-6 hours,1-2 hours,1-2 hours,1-2 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,"The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 20m.-The level difference between two banks is approximately the same.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is a possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two elevated areas.-The soil from the site is hard rock for both sides. ?previously recorded GPS Incorrect(-6.6627778  29.4730278);unable to find the correct precise location of the bridge site but the approximate location is (-1.69535° 29.46504°) found by adding Rwanda Topographic Map to ArcMap and calculating the value of points x and y of the attribute table"""
0,1000-3000,2145m,Rugogwe,150-300,Many,No,-Kizimyamuriro -Rugarika,now-Simple timber bridge,3-6 months,1-2,>6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 20m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,1000-3000,1736m,Buteteri,50-150,Many,No,-Rwimpiri -Mukongoro,now-Walking through river,6-9 months,1-2,>6,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 7m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.04m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is hard rock for both sides.
0,3000-6000,1728m,Buteteri-Musaraba,300-600,Many,2,-Rwimpiri -Mukongoro,now-Simple timber bridge,3-6 months,1-2,>6,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 42m.-The level difference between two banks is 0.3m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is hard rock for both sides.
0,3000-6000,2151m,Rugogwe,150-300,Many,No,-Kizimyamuriro -Rugarika -Subukiriro,now-Simple timber bridge,3-6 months,1-2,>6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.03m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,1000-3000,2040m,kibyagira-Bushigishigi,300-600,-Many,-More,-Kibyagira -Bushigishigi,now-Simple timber bridge,9-12 months,<,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately15m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.2m.-The space for foundation is sufficient for both sides. -The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides
0,1000-3000,1997m,Mukongoro-Gifurwe,150-300,-Many,-No,-Mukongoro -Shaki,now-Simple timber bridge,1-3 months,1-2,>6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately10m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 1m.-The space for foundation is sufficient for both sides. -The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between an elevated area and a flat area.-The soil from the site is silt for one side and rock for the other side.
0,3000-6000,1586m,Mutiwingoma-Bwenda,300-600,-Many,-One,-Rugarama -Kabuga,now-Simple timber bridge,3-6 months,2-3,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient for both sides. -The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides.
0,1000-3000,1531m,Masizi,150-300,No,No,-Masizi -Rwankuba,now-Simple timber bridge,3-6 months,1-2,2-6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 7m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,3000-6000,1972m,Uwindekezi-Munyege,150-300,Many,One,Gasarenda,now-Simple timber bridge,3-6 months,1-2,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 60m.-The level difference between two banks is 0.005m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between Flood areas.-The soil from the site is clay for both sides.
0,1000-3000,1966m,Munyege,150-300,Many,No,Gasarenda,now-Simple timber bridge,3-6 months,1-2,2-6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 60m.-The level difference between two banks is 0.005m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between Flood areas.-The soil from the site is clay for both sides.
0,1000-3000,2107m,Kizimyamuriro-Bushigishigi,150-300,-Many,-2,-Kizimyamuriro,now-Simple timber bridge,3-6 months,2-3,>6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.3m.-The space for foundation is sufficient for both sides. -The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for both sides
0,1000-3000,1978m,Rusekera-Mukongoro,300-600,-Many,-No,-Shaki -Musebeya,now-Simple timber bridge,1-3 months,2-3,>6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately5m.-The proposed bridge span is approximately 32m.-The level difference between two banks is 0.03m.-The space for foundation is sufficient for both sides. -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between an elevated area and a flat area.-The soil from the site is silt for both sides
0,500-1000,1717m,bugarura-Nyanza,50-150,No,No,-Kibingo,now-Simple timber bridge,3-6 months,2-3,>6,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between Flat areas.-The soil from the site is silt for both sides.
0,3000-6000,1609m,Jenda,300-600,No,No,-Musange,now-Simple timber bridge,1-3 months,1-2,2-6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 45m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion.-The soil from the site is silt for both sides.
0,3000-6000,1837m,Gashiha,150-300,Many,No,Gasharu,now-Simple timber bridge,3-6 months,2-3,1-2,1-2 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between Flat areas.-The soil from the site is silt for both sides.
0,1000-3000,1660m,Cyobe,50-150,Many,No,-Kizanganya,now-Walking through river,6-9 months,2-3,>6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,Clay ,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is clay for both sides.
0,3000-6000,1859m,Cyobe,300-600,Many,No,-Mushubi -Peru,now-Simple timber bridge,3-6 months,2-3,>6,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 9m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.003m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is hard rock for both sides.
0,1000-3000,1757m,bugarura,50-150,Many,No,-Gataba,now-Walking through river,3-6 months,2-3,>6,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 38m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between Flat areas.-The soil from the site is silt for both sides.
0,500-1000,1529m,Masangano,50-150,Many,Two,-Masangano,now-Walking through river,6-9 months,2-3,>6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 120m.-The level difference between two banks is 0.1m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is hard rock for both sides.
0,500-1000,1678m,Murambi,50-150,Many,No,-Kaduha,now-Walking through river,6-9 months,2-3,>6,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 27m.-The level difference between two banks is 0.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion.-The soil from the site is hard rock for both sides.
0,3000-6000,1494m,Mutongo,300-600,Many,No,-Macuba -Bisheke,now-Simple timber bridge,6-9 months,2-3,1-2,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of 6m.-The proposed bridge span is approximately 45m.-The level difference between two banks is approximately 7m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient (
0,3000-6000,1474m,Kibingo-Kagarama,150-300,Many,1,-Mugonero -Mahembe -Gabiro,now-Simple timber bridge,3-6 months,<,0.5-1,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Clay ,Available,Not available on site,Available,Available,Sector,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of 4m.-The proposed bridge span is approximately 25m.-The level difference between two banks is approximately 0.05m(almost the same)-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient (>Span/25).-There is no confluence area near the place.-The river bed at this site is unstable  there is a possibility of erosion.-The bank profile of the site is showing a sign of erosion and it is located between two flood areas.-The soil from the site is clay for both sides.
0,1000-3000,1668m,Mpanga-Kiruri,150-300,-No,No,-Kabuga -Birembo -Nyanza,now-Simple timber bridge,3-6 months,2-3,>6,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 5m.-The space for foundation is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between elevated area and flat area.-The soil from the site is silt for both sides.
0,500-1000,1596m,Nyarurama,50-150,-No,No,Cyabakamyi,now-Walking through river,6-9 months,>3,>6,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5-1 hours,bank-flat,sandy,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is sandy for both sides.
0,3000-6000,1966m,Shororo,300-600,Many,More,-Gatunda -Uwinteko,now-Simple timber bridge,3-6 months,2-3,2-6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 35m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is a confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion.-The soil from the site is hard rock for both sides.
0,3000-6000,2209m,Remera-Uwumusebeya,300-600,Many,No,-Gisanze -Remera,now-Simple timber bridge,6-9 months,2-3,>6,2-6 hours,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 48m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion.-The soil from the site is silt for one side and hard rock for other side
0,500-1000,1946m,Kabere-Gihemvu,50-150,No,No,-Bihembe,now-Simple timber bridge,3-6 months,2-3,>6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 25m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is silt for both sides.
0,1000-3000,1804m,Nyamabuye,50-150,-No,No,-Kibeho -Mata,now-Simple timber bridge,3-6 months,2-3,>6,1-2 hours,0.5-1 hours,0.5 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between a flat areas.-The soil from the site is silt for both sides.
